asciiname	frequency
Juhr ad Dik	{'regex': '(Juhr\\ ad\\ Dik|31\\.45571|34\\.43719|6967895|Juḩr\\ ad\\ Dīk|Juhor\\ ad\\ Dik,Juhr\\ ad\\ Dik,Juḩr\\ ad\\ Dīk,jhr\\ aldyk,جحر\\ الديك)', 'count': 0}
Umm an Nasr	{'regex': '(Umm\\ an\\ Nasr|31\\.56085|34\\.51863|6967877|Umm\\ an\\ Naşr|Al\\ Qaryah\\ al\\ Badawiyah\\ al\\ Maslakh,Umm\\ an\\ Nasr,Umm\\ an\\ Naşr,alqryt\\ albdwyt\\ almslkh,am\\ alnsr,أم\\ النصر,القرية\\ البدوية\\ المسلخ)', 'count': 0}
Al Musaddar	{'regex': '(Al\\ Musaddar|31\\.41052|34\\.37802|6968050|Al\\ Muşaddar|Al\\ Musaddar,Al\\ Muşaddar,almsdr,المصدر)', 'count': 0}
Al Mawasi	{'regex': '(Al\\ Mawasi|31\\.34861|34\\.26556|281154|Al\\ Mawāsī|Al\\ Mawasi,Al\\ Mawāsī,El\\-Mawasi,almwasy,المواصي)', 'count': 1}
Al-Shifa Hospital	"{'regex': ""(Al\\-Shifa\\ Hospital|31\\.52414|34\\.4442|7870487|Al\\-Shifa\\ Hospital|Al'\\-Shifa,Al\\-Shifa\\ Hospital,Al\\-Shifa\\ Ospitalea,Al\\-Shifa\\ ziekenhuis,As\\-Sifa,Aš\\-Šifá,Benh\\ vien\\ Al\\-Shifa,Bolnisnica\\ Al\\ Sifa,Bolnišnica\\ Al\\ Šifa,Bệnh\\ viện\\ Al\\-Shifa,Gazze\\ Sifa\\ Hastanesi,Gazze\\ Şifa\\ Hastanesi,Hospital\\ Al\\-Shifa,Mustashfa\\ al\\-Shifa,Ospedale\\ Al\\-Shifa,Rumah\\ Sakit\\ Al\\-Shifa,Shifa\\-sykehuset,Valetudinarium\\ al\\-Shifa,Ysbyty\\ Al\\-Shifa,al\\-Schifa\\-Krankenhaus,al\\-cipa\\ maruttuvamanai,ala\\-sipha\\ hasapatala,alsipa\\ byeong\\-won,bymarstan\\ alshfa,hopital\\ Al\\-Shifa,hospitalo\\ Al\\-Sifa,hospitalo\\ Al\\-Ŝifa,hôpital\\ Al\\-Shifa,rong\\ phyabal\\ xach\\ chifax,xi\\ fa\\ yi\\ yuan,Аль\\-Шифа,בית\\ החולים\\ שיפא,بیمارستان\\ الشفا,مجمع\\ الشفاء\\ الطبي,আল\\-শিফা\\ হাসপাতাল,அல்\\-சிபா\\ மருத்துவமனை,โรงพยาบาลอัชชิฟาอ์,アル・シファ病院,希法医院,알시파\\ 병원)"", 'count': 384}"
Umm Jarrah	{'regex': '(Umm\\ Jarrah|31\\.25417|34\\.27333|281070|Umm\\ Jarrah|Umm\\ Jarrah,Umm\\ Jerra)', 'count': 0}
Musabbih	{'regex': '(Musabbih|31\\.29306|34\\.27861|281116|Muşabbiḩ|Musabbih,Musebbeh,Muşabbiḩ)', 'count': 0}
Ard Rafah	{'regex': '(Ard\\ Rafah|31\\.29861|34\\.26083|281149|Arḑ\\ Rafaḩ)', 'count': 0}
Al Qubbah	{'regex': '(Al\\ Qubbah|31\\.24194|34\\.28333|281153|Al\\ Qubbah|Al\\ Qubbah,El\\ Qubbe)', 'count': 0}
Al Junaynah	{'regex': '(Al\\ Junaynah|31\\.27972|34\\.26361|281156|Al\\ Junaynah|Al\\ Junaynah,El\\ Juneine)', 'count': 0}
Al Ghabah	{'regex': '(Al\\ Ghabah|31\\.26417|34\\.25778|281158|Al\\ Ghābah|Al\\ Ghabah,Al\\ Ghābah,El\\-Ghabe)', 'count': 0}
Al Filahah	{'regex': '(Al\\ Filahah|31\\.32333|34\\.30667|281159|Al\\ Filāḩah|Al\\ Filahah,Al\\ Filāḩah,Al\\-Filaha,El\\ Filaha)', 'count': 0}
Abu Himar	{'regex': '(Abu\\ Himar|31\\.33222|34\\.285|281163|Abū\\ Ḩimār|Abu\\ Himar,Abu\\ Himer,Abū\\ Ḩimār)', 'count': 0}
Abu 'Awdah	"{'regex': ""(Abu\\ 'Awdah|31\\.22722|34\\.27167|281164|Abū\\ ‘Awdah|Abu\\ `Auda,Abu\\ `Awdah,Abu\\ `Ode,Abu\\ ‘Auda,Abu\\ ‘Ode,Abū\\ ‘Awdah)"", 'count': 0}"
Arab al Qila'i	"{'regex': ""(Arab\\ al\\ Qila'i|31\\.275|34\\.32667|410879|‘Arab\\ al\\ Qilā‘ī)"", 'count': 0}"
Abu Mu'ammar	"{'regex': ""(Abu\\ Mu'ammar|31\\.25917|34\\.31806|410880|Abu\\ Mu‘ammar)"", 'count': 0}"
Umm al Kilab	{'regex': '(Umm\\ al\\ Kilab|31\\.2959|34\\.29151|281072|Umm\\ al\\ Kilāb|Umm\\ al\\ Kilab,Umm\\ al\\ Kilāb,Umm\\ el\\-Kilab,aum\\ alkilab,أُم\\ الكِلاب)', 'count': 0}
Saknat az Zarqa'	"{'regex': ""(Saknat\\ az\\ Zarqa'|31\\.51667|34\\.46667|281095|Saknat\\ az\\ Zarqā’|Saknat\\ az\\ Zarqa',Saknat\\ az\\ Zarqā’)"", 'count': 0}"
Rafiah Yam	{'regex': '(Rafiah\\ Yam|31\\.28333|34\\.23333|281098|Rafiaẖ\\ Yam|Rafiah\\ Yam,Rafiaẖ\\ Yam)', 'count': 0}
Qizan an Najjar	{'regex': '(Qizan\\ an\\ Najjar|31\\.32377|34\\.28663|281103|Qīzān\\ an\\ Najjār|Qazan\\ an\\ Najjar,Qazān\\ an\\ Najjār,Qizan\\ an\\ Najjar,Qīzān\\ an\\ Najjār,qyzan\\ alnjar,قيزان\\ النجار)', 'count': 0}
Qa' al Qurayn	"{'regex': ""(Qa'\\ al\\ Qurayn|31\\.30311|34\\.32196|281106|Qā‘\\ al\\ Qurayn|Qa`\\ al\\ Qurayn,Qa`\\ al\\ Qurein,Qa`\\ el\\-Qurein,Qa‘\\ al\\ Qurein,Qa‘\\ el\\-Qurein,Qā‘\\ al\\ Qurayn,قاع\\ القرين)"", 'count': 0}"
Nahal Qatif	{'regex': '(Nahal\\ Qatif|31\\.42507|34\\.3734|281114|Naḥal\\ Qatif|Katif,Nahal\\ Qatif,Nahal\\-Katif,Naḥal\\ Qatif)', 'count': 0}
Umm Kamil	{'regex': '(Umm\\ Kamil|31\\.29699|34\\.3039|281117|Umm\\ Kamīl|Mukhaymil,Mukheimil,Umm\\ Kamil,Umm\\ Kamīl,aum\\ kmyl,أُم\\ كميل)', 'count': 0}
An Nazlah	{'regex': '(An\\ Nazlah|31\\.53333|34\\.48333|281152|An\\ Nazlah|An\\ Nazlah,El\\ Nesleh,En\\ Nazle,En\\ Nezle,Nazla,Nazlah,Nuzle)', 'count': 0}
Al Mashahirah	{'regex': '(Al\\ Mashahirah|31\\.51667|34\\.46667|281155|Al\\ Mashāhirah|Al\\ Mashahira,Al\\ Mashahirah,Al\\ Mashāhirah)', 'count': 0}
Qa' al Kharabah	"{'regex': ""(Qa'\\ al\\ Kharabah|31\\.30899|34\\.30565|410881|Qā‘\\ al\\ Kharābah|Qa`\\ al\\ Kharabah,Qa`\\ el\\-Kharaba,Qa‘\\ al\\ Kharābah,Qa‘\\ el\\-Kharaba,Qā‘\\ al\\ Kharābah,قاع\\ الخَرابَة)"", 'count': 0}"
Daribat ash Shaykh Hammuda	{'regex': '(Daribat\\ ash\\ Shaykh\\ Hammuda|31\\.36639|34\\.355|410887|Daribat\\ ash\\ Shaykh\\ Hammuda)', 'count': 0}
Izbat Bayt Hanun	{'regex': '(Izbat\\ Bayt\\ Hanun|31\\.53597|34\\.52134|6967879|‘Izbat\\ Bayt\\ Ḩanūn|`Izbat\\ Bayt\\ Hanun,`Izbat\\ Beit\\ Hanun,عزبة\\ بيت\\ حنون,‘Izbat\\ Bayt\\ Ḩanūn,‘Izbat\\ Beit\\ Hanun)', 'count': 0}
Arab Maslakh Bayt Lahya	"{'regex': ""(Arab\\ Maslakh\\ Bayt\\ Lahya|31\\.5341|34\\.51426|6967881|‘Arab\\ Maslakh\\ Bayt\\ Lāhyā|`Arab\\ Maslakh\\ Bayt\\ La'iya,`Arab\\ Maslakh\\ Bayt\\ Lahya,`Arab\\ Maslakh\\ Beit\\ Lahya,عرب\\ مسلخ\\ بيت\\ لائيا,عرب\\ مسلخ\\ بيت\\ لاهيا,‘Arab\\ Maslakh\\ Bayt\\ Lāhyā,‘Arab\\ Maslakh\\ Bayt\\ Lā’iyā,‘Arab\\ Maslakh\\ Beit\\ Lahya)"", 'count': 0}"
Madinat al 'Awdah	"{'regex': ""(Madinat\\ al\\ 'Awdah|31\\.54709|34\\.46372|6967883|Madīnat\\ al\\ ‘Awdah|Madinat\\ al\\ `Awda,Madinat\\ al\\ `Awdah,Madīnat\\ al\\ ‘Awda,Madīnat\\ al\\ ‘Awdah,مدينة\\ العودة)"", 'count': 0}"
As Surayij	{'regex': '(As\\ Surayij|31\\.36052|34\\.36077|6968057|As\\ Surayij|As\\ Surayij,alsryj,السريج)', 'count': 0}
Az-Zawayda	{'regex': '(Az\\-Zawayda|31\\.42844|34\\.36595|7870299|Az\\-Zawayda|Al\\ Zawaida)', 'count': 4}
Khuza'a	"{'regex': ""(Khuza'a|31\\.30694|34\\.35723|7870489|Khuza'a|Khuza'aa)"", 'count': 0}"
al Fukhari	{'regex': '(al\\ Fukhari|31\\.29523|34\\.33315|7870522|al\\ Fukhari|Al\\ Fukhare)', 'count': 0}
Shokat as-Sufi	{'regex': '(Shokat\\ as\\-Sufi|31\\.25864|34\\.28244|7870523|Shokat\\ as\\-Sufi|Al\\ Shuka,Shoka)', 'count': 1}
Al-Mughraqa	{'regex': '(Al\\-Mughraqa|31\\.4675|34\\.40972|7870524|Al\\-Mughraqa)', 'count': 2}
Bani Suhela	{'regex': '(Bani\\ Suhela|31\\.3421|34\\.32526|7870559|Bani\\ Suhela|Bani\\ Suhaila)', 'count': 10}
Abasan al-Saghira	"{'regex': ""(Abasan\\ al\\-Saghira|31\\.34051|34\\.3446|7870670|Abasan\\ al\\-Saghira|Abasan\\ al\\-Saghir,Abasan\\ Jadeda,Abasan\\ al\\-Jadida,Abasan\\ al\\-Sa'ir)"", 'count': 0}"
Al-Zahra'	"{'regex': ""(Al\\-Zahra'|31\\.47158|34\\.40128|7870996|Al\\-Zahra'|Al\\ Zahra,Ezahra,Madinat\\ Az\\-Zahra',Madinat\\ Azzahra)"", 'count': 0}"
Khirbat al-Adas	{'regex': '(Khirbat\\ al\\-Adas|31\\.28552|34\\.27138|7871045|Khirbat\\ al\\-Adas)', 'count': 0}
Al Qaryah as Suwaydiyah	{'regex': '(Al\\ Qaryah\\ as\\ Suwaydiyah|31\\.32363|34\\.22078|7909657|Al\\ Qaryah\\ as\\ Suwaydīyah|Al\\ Qaryah\\ as\\ Suwaydiyah,Al\\ Qaryah\\ as\\ Suwaydīyah,alqryt\\ alswydyt,القرية\\ السويدية)', 'count': 0}
Al Katibah	{'regex': '(Al\\ Katibah|31\\.35675|34\\.31089|8051616|Al\\ Katībah|Al\\ Katibah,Al\\ Katībah,alktybt,الكتيبة)', 'count': 0}
Al Amal	{'regex': '(Al\\ Amal|31\\.35513|34\\.29873|8051617|Al\\ Amal|Al\\ Amal,alaml,الأمل)', 'count': 1}
Atatra	{'regex': '(Atatra|31\\.55941|34\\.4875|11670414|Atatra)', 'count': 1}
Remal	{'regex': '(Remal|31\\.53078|34\\.45502|7302441|Remal|Rimal,hy\\ alrmal,حي\\ الرمال)', 'count': 11}
At Turkman	{'regex': '(At\\ Turkman|31\\.49313|34\\.47271|8041215|At\\ Turkmān|At\\ Turkman,At\\ Turkmān,altzkman,التزكمان)', 'count': 0}
Az Zaytun	{'regex': '(Az\\ Zaytun|31\\.49642|34\\.45215|8041217|Az\\ Zaytūn|Az\\ Zaytun,Az\\ Zaytūn,alzytwn,الزيتون)', 'count': 0}
As Sabra	{'regex': '(As\\ Sabra|31\\.50585|34\\.45309|8041218|Aş\\ Şabrā|As\\ Sabra,Aş\\ Şabrā,alsbra,الصبرا)', 'count': 0}
Al Fawayidah	{'regex': '(Al\\ Fawayidah|31\\.50642|34\\.4425|8041219|Al\\ Fawāyidah|Al\\ Fawaydah,Al\\ Fawayidah,Al\\ Fawāydah,Al\\ Fawāyidah,alfwaydt,الفوايدة)', 'count': 0}
Ash Shaykh 'Ijlin	"{'regex': ""(Ash\\ Shaykh\\ 'Ijlin|31\\.50981|34\\.42739|8041220|Ash\\ Shaykh\\ ‘Ijlīn|Ash\\ Shaykh\\ `Ijlin,Ash\\ Shaykh\\ ‘Ijlīn,الشيخ\\ عجلين)"", 'count': 0}"
Midan Filastin	{'regex': '(Midan\\ Filastin|31\\.50682|34\\.45808|8041222|Mīdān\\ Filasţīn|Midan\\ Filastin,Mīdān\\ Filasţīn,mydan\\ flstyn,ميدان\\ فلسطين)', 'count': 0}
Ar Rimal al Janubi	{'regex': '(Ar\\ Rimal\\ al\\ Janubi|31\\.51603|34\\.43921|8041255|Ar\\ Rimāl\\ al\\ Janūbī|Ar\\ Rimal\\ al\\ Janubi,Ar\\ Rimāl\\ al\\ Janūbī,alrmal\\ aljnwby,الرمال\\ الجنوبي)', 'count': 0}
Ar Rimal ash Shamali	{'regex': '(Ar\\ Rimal\\ ash\\ Shamali|31\\.52294|34\\.45325|8041656|Ar\\ Rimāl\\ ash\\ Shamālī|Ar\\ Rimal\\ ash\\ Shamali,Ar\\ Rimāl\\ ash\\ Shamālī,alrmal\\ alshmaly,الرمال\\ الشمالي)', 'count': 0}
An Nasr ash Sharqi	{'regex': '(An\\ Nasr\\ ash\\ Sharqi|31\\.52841|34\\.45975|8041662|An\\ Naşr\\ ash\\ Sharqī|An\\ Nasr\\ ash\\ Sharqi,An\\ Naşr\\ ash\\ Sharqī,alnsr\\ alshrqy,النصر\\ الشرقي)', 'count': 0}
An Nasr al Gharbi	{'regex': '(An\\ Nasr\\ al\\ Gharbi|31\\.53384|34\\.45335|8041663|An\\ Naşr\\ al\\ Gharbī|An\\ Nasr\\ al\\ Gharbi,An\\ Naşr\\ al\\ Gharbī,alnsr\\ alghrby,النصر\\ الغربي)', 'count': 0}
Ash Shaykh Radwan	{'regex': '(Ash\\ Shaykh\\ Radwan|31\\.53494|34\\.46671|8041664|Ash\\ Shaykh\\ Raḑwān|Ash\\ Shaykh\\ Radwan,Ash\\ Shaykh\\ Raḑwān,alshykh\\ rdwan,الشيخ\\ رضوان)', 'count': 0}
Ad Daraj	{'regex': '(Ad\\ Daraj|31\\.52148|34\\.46263|8041665|Ad\\ Daraj|Ad\\ Daraj,aldrj,الدرج)', 'count': 0}
At Tuffah	{'regex': '(At\\ Tuffah|31\\.51338|34\\.47514|8042019|At\\ Tuffāḩ|At\\ Tuffah,At\\ Tuffāḩ,altfah,التفاح)', 'count': 0}
Al Jadidah	{'regex': '(Al\\ Jadidah|31\\.50355|34\\.47985|8042056|Al\\ Jadīdah|Al\\ Jadidah,Al\\ Jadīdah,aljdydt,الجديدة)', 'count': 0}
Maydan ash Shuja'iyah	"{'regex': ""(Maydan\\ ash\\ Shuja'iyah|31\\.49889|34\\.46771|8042073|Maydān\\ ash\\ Shujā‘īyah|Maydan\\ ash\\ Shuja`iyah,Maydān\\ ash\\ Shujā‘īyah,Midan\\ ash\\ Shuja`iyah,Mīdān\\ ash\\ Shujā‘īyah,ميدان\\ الشجاعية)"", 'count': 0}"
Al Madinah al Qadimah	{'regex': '(Al\\ Madinah\\ al\\ Qadimah|31\\.50429|34\\.46547|8042074|Al\\ Madīnah\\ al\\ Qadīmah|Al\\ Madinah\\ al\\ Qadimah,Al\\ Madīnah\\ al\\ Qadīmah,almdynt\\ alqdymt,المدينة\\ القديمة)', 'count': 0}
Al Mu'tarid	"{'regex': ""(Al\\ Mu'tarid|31\\.40184|34\\.35941|8051589|Al\\ Mu‘tariḑ|Al\\ Mu`tarid,Al\\ Mu‘tariḑ,المعترض)"", 'count': 0}"
Al Mintaqah as Sina'iyah	"{'regex': ""(Al\\ Mintaqah\\ as\\ Sina'iyah|31\\.41041|34\\.36693|8051590|Al\\ Minţaqah\\ aş\\ Şinā‘īyah|Al\\ Mintaqah\\ as\\ Sina`iyah,Al\\ Minţaqah\\ aş\\ Şinā‘īyah,المنطقة\\ الصناعية)"", 'count': 0}"
Ar Rasm	{'regex': '(Ar\\ Rasm|31\\.41192|34\\.35485|8051591|Ar\\ Rasm|Ar\\ Rasm,alrsm,الرسم)', 'count': 0}
Al Mattayin	{'regex': '(Al\\ Mattayin|31\\.41519|34\\.35659|8051592|Al\\ Maţţāyin|Al\\ Mattayin,Al\\ Maţţāyin,almtayn,المطاين)', 'count': 0}
Al Harah ash Sharqiyah	{'regex': '(Al\\ Harah\\ ash\\ Sharqiyah|31\\.41916|34\\.35662|8051593|Al\\ Ḩārah\\ ash\\ Sharqīyah|Al\\ Harah\\ ash\\ Sharqiyah,Al\\ Ḩārah\\ ash\\ Sharqīyah,alhart\\ alshrqyt,الحارة\\ الشرقية)', 'count': 0}
Abu Asad	{'regex': '(Abu\\ Asad|31\\.42317|34\\.35993|8051594|Abū\\ Asad|Abu\\ Asad,Abū\\ Asad,abw\\ asd,أبو\\ أسد)', 'count': 0}
Abu Sittah	{'regex': '(Abu\\ Sittah|31\\.42751|34\\.35855|8051595|Abū\\ Sittah|Abu\\ Sittah,Abū\\ Sittah,abw\\ stt,أبو\\ ستة)', 'count': 9}
Hamadah	{'regex': '(Hamadah|31\\.42389|34\\.35176|8051596|Ḩamādah|Hamadah,hmadt,حمادة,Ḩamādah)', 'count': 1}
Tunis	{'regex': '(Tunis|31\\.4246|34\\.34744|8051597|Tūnis|Tunis,Tūnis,twns,تونس)', 'count': 121}
Al Masihi	{'regex': '(Al\\ Masihi|31\\.42458|34\\.3434|8051598|Al\\ Masīḩī|Al\\ Masihi,Al\\ Masīḩī,almsyhy,المسيحي)', 'count': 0}
Al 'Amrah	"{'regex': ""(Al\\ 'Amrah|31\\.42038|34\\.34909|8051599|Al\\ ‘Amrah|Al\\ `Amrah,Al\\ ‘Amrah,العمرة)"", 'count': 0}"
Al Brawk	{'regex': '(Al\\ Brawk|31\\.42041|34\\.33902|8051600|Al\\ Brawk|Al\\ Brawk,albrwk,البروك)', 'count': 0}
Abu Fayyad	{'regex': '(Abu\\ Fayyad|31\\.41749|34\\.33349|8051602|Abū\\ Fayyāḑ|Abu\\ Fayyad,Abū\\ Fayyāḑ,abw\\ fyad,أبو\\ فياض)', 'count': 0}
Umran	{'regex': '(Umran|31\\.41448|34\\.33974|8051603|‘Umrān|`Umran,عمران,‘Umrān)', 'count': 0}
Al Qata'ah	"{'regex': ""(Al\\ Qata'ah|31\\.41157|34\\.33543|8051604|Al\\ Qaţa‘ah|Al\\ Qata`ah,Al\\ Qaţa‘ah,القطعة)"", 'count': 0}"
Al Hakar	{'regex': '(Al\\ Hakar|31\\.40926|34\\.34393|8051605|Al\\ Ḩakar|Al\\ Hakar,Al\\ Ḩakar,alhkr,الحكر)', 'count': 0}
Al Hadabah	{'regex': '(Al\\ Hadabah|31\\.41475|34\\.34844|8051606|Al\\ Ḩadabah|Al\\ Hadabah,Al\\ Ḩadabah,alhdbt,الحدبة)', 'count': 0}
